#{"t_start": 1643023854.2240155, "env_id": "MountainCarContinuous-v0"}
r,l,t
8.424891,1000,1.695167
-48.832701,1000,3.325215
-108.921177,1000,4.92682
-108.803298,1000,6.51781
58.394153,1000,8.124025
-101.243661,1000,9.70681
57.571024,1000,11.41871
111.628869,1000,13.050014
54.56644,1000,14.645874
-118.031422,1000,16.242171
184.088085,1000,137.908064
896.952345,1000,230.811002
933.261812,1000,325.146769
-108.001108,1000,420.537081
-283.096424,1000,557.002627
-164.984606,1000,697.233503
44.050451,1000,822.472913
-1792.011072,1000,919.483688
619.739065,1000,1016.178798
1328.189504,1000,1112.850833
-1054.03698,1000,1261.150332
-1117.040828,1000,1399.337465
894.106101,1000,1496.324459
729.071595,1000,1593.221349
306.596575,1000,1690.472893
-625.030832,1000,1787.335524
1147.918694,1000,1884.057945
-3007.825493,1000,1984.703432
434.262189,1000,2126.082872
1015.206209,1000,2267.71061
778.239342,1000,2405.915122
2121.353747,1000,2518.759094
206.130247,1000,2644.760581
706.162721,1000,2792.927695
925.497961,1000,2941.4495
1467.109368,1000,3090.290412
1223.298335,1000,3238.830517
453.331907,1000,3363.114353
1196.053672,1000,3506.442986
2137.394497,1000,3649.751502
902.471068,1000,3802.507236
1600.879316,1000,3942.959673
1347.13377,1000,4041.545028
1997.374004,1000,4141.141939
1292.352592,1000,4240.935194
1554.143428,1000,4340.580824
2073.099678,1000,4440.220403
2086.464346,1000,4539.442728
599.35833,1000,4642.075037
1121.0645,1000,4786.707043
-731.861858,1000,4941.516979
2187.926031,1000,5086.308557
1293.208601,1000,5231.448625
-52.139793,1000,5376.623444
1364.784207,1000,5522.109001
1376.490013,1000,5667.66693
1642.14459,1000,5813.161443
-735.59432,1000,5958.868222
941.246287,1000,6105.328799
2170.654583,1000,6233.047135
1455.438496,1000,6341.834372
1848.126361,1000,6444.980088
2126.569812,1000,6548.735729
971.51226,1000,6652.769993
1515.274464,1000,6758.417416
704.717039,1000,6879.033245
1575.728019,1000,6987.334891
1123.316034,1000,7097.233083
320.501417,1000,7208.384168
768.799769,1000,7323.322053
1647.898726,1000,7443.10751
1426.030969,1000,7557.68609
2181.896401,1000,7687.74788
1659.941193,1000,7835.968268
1654.725205,1000,8000.646551
1107.544938,1000,8165.398528
1938.914805,1000,8303.514147
1754.782258,1000,8423.754527
1170.968148,1000,8544.655154
1743.686406,1000,8666.0416
1770.272268,1000,8793.548654
2028.266351,1000,8915.576174
1864.846661,1000,9038.715304
1427.451886,1000,9206.503361
1733.667172,1000,9375.393293
1374.134963,1000,9528.555876
1516.917377,1000,9651.896709
1853.911278,1000,9775.451167
2052.158777,1000,9899.139217
1898.505448,1000,10049.296833
1773.116052,1000,10187.1254
1596.268682,1000,10347.349978
2174.432579,1000,10502.61442
2072.586601,1000,10671.839822
1948.573677,1000,10825.748862
1450.580129,1000,10989.371449
2066.559512,1000,11145.83465
2140.251702,1000,11295.945005
1496.050434,1000,11430.998192
1903.271417,1000,11556.28754
1519.942566,1000,11739.840963
1718.730282,1000,11881.864114
1831.152422,1000,12007.681868
1939.218755,1000,12132.890521
1843.4678,1000,12295.591254
